age,monthly_salary,profession,education_level,location,home_status,family_wealth,marital_status,marriage_type,government_job,dowry_amount_lakhs
23,164382,Business Owner,Diploma,Tier-1,Own,Middle,Single,Arranged,0,27.0
24,199919,Government Officer,PhD,Tier-2,Rented,Upper-Middle,Single,Love,1,32.5
34,155285,Private Job,Bachelors,Rural,Rented,Middle,Married,Arranged,0,10.5
40,175805,Software Engineer,PhD,Tier-2,Own,Upper,Divorced,Love,0,23.5
31,42576,Software Engineer,Masters,Tier-1,Own,Upper,Married,Love,0,12.0
35,197484,Freelancer,Bachelors,Tier-1,Rented,Upper-Middle,Married,Love,0,12.5
22,144979,CA,Diploma,Tier-3,Own,Lower,Divorced,Arranged,0,20.0
37,51950,CA,Diploma,Tier-2,Own,Upper,Single,Arranged,0,21.5
29,29848,Government Officer,PhD,Tier-3,Rented,Upper,Married,Arranged,1,15.0
35,61887,Business Owner,Bachelors,Tier-3,Own,Lower,Married,Arranged,0,11.0
24,138518,CA,PhD,Tier-3,Rented,Upper-Middle,Divorced,Love,0,17.5
35,124223,CA,Bachelors,Rural,Rented,Upper,Divorced,Love,0,14.0
25,167937,Freelancer,Masters,Tier-2,Rented,Middle,Divorced,Arranged,0,18.0
23,137650,CA,Bachelors,Tier-3,Own,Lower,Single,Arranged,0,25.5
28,184062,Private Job,Bachelors,Tier-2,Rented,Middle,Single,Love,0,22.0
28,113595,Private Job,Bachelors,Rural,Rented,Lower,Divorced,Arranged,0,13.5
25,104589,Doctor,Diploma,Tier-3,Rented,Middle,Divorced,Love,0,13.5
31,91402,Software Engineer,Masters,Tier-3,Rented,Upper-Middle,Single,Love,0,19.5
32,111223,CA,PhD,Rural,Own,Upper-Middle,Single,Love,0,23.5
31,26815,Government Officer,PhD,Rural,Own,Upper,Married,Love,1,15.0
31,144195,CA,Masters,Tier-2,Rented,Upper,Married,Love,0,13.0
25,101246,Private Job,Bachelors,Tier-1,Own,Upper,Married,Arranged,0,14.0
36,63692,Software Engineer,Masters,Rural,Own,Upper,Divorced,Arranged,0,17.0
40,104754,Freelancer,Diploma,Tier-3,Own,Upper,Single,Love,0,18.0
25,136879,Freelancer,Masters,Tier-2,Own,Lower,Divorced,Love,0,17.5
26,151181,Private Job,Masters,Tier-3,Own,Upper-Middle,Married,Arranged,0,15.5
29,153651,Business Owner,PhD,Rural,Rented,Upper,Divorced,Love,0,16.5
29,80106,Business Owner,Diploma,Tier-3,Own,Upper,Married,Love,0,9.0
22,158401,Software Engineer,Diploma,Tier-2,Rented,Upper,Single,Love,0,21.5
24,182694,Freelancer,Masters,Tier-1,Rented,Lower,Single,Arranged,0,25.0
