transaction_amount,hour_of_day,account_age_days,num_txn_last_24h,num_failed_txn_last_24h,distance_from_usual_km,transaction_type,merchant_category,device_type,is_new_payee,risk_label
2189.8,10,439,4,1,1.69,BillPay,Fuel,Android,Yes,fraud
941.75,12,2720,1,2,2.16,P2P,Travel,Android,No,fraud
320.13,9,1897,5,0,9.06,P2P,Groceries,iOS,Yes,suspicious
1149.1,12,4312,6,2,0.95,Merchant,Fuel,Android,Yes,fraud
1537.63,2,3811,4,0,6.77,P2P,Electronics,Android,Yes,fraud
1636.85,12,1674,2,0,1.02,P2P,Fuel,Android,No,suspicious
10983.36,16,2472,3,1,6.73,P2P,Travel,Android,No,fraud
7560.94,15,4852,2,1,5.37,P2P,Jewelry,Android,Yes,fraud
2809.02,2,3310,6,0,0.09,P2P,Electronics,Android,No,fraud
1564.61,9,4108,3,0,3.08,Merchant,Travel,iOS,No,suspicious
5739.61,12,1376,3,0,1.83,P2P,Fuel,Android,Yes,suspicious
492.9,21,1215,5,0,0.31,Merchant,Fuel,iOS,No,suspicious
1308.62,10,4937,2,0,6.41,P2P,Electronics,Android,No,suspicious
10030.72,14,1088,6,0,1.46,BillPay,Electronics,iOS,No,fraud
8021.17,16,1629,1,0,0.37,P2P,Jewelry,Android,No,suspicious
5881.22,14,2856,4,0,0.89,P2P,Groceries,Android,No,suspicious
7200.9,15,4827,2,1,2.27,Merchant,Jewelry,Android,No,fraud
964.28,16,3130,3,0,4.83,Merchant,Groceries,Android,No,suspicious
671.93,5,4906,2,0,3.14,P2P,Travel,iOS,Yes,suspicious
1553.8,6,545,2,0,3.2,P2P,Jewelry,Android,Yes,suspicious
1539.69,1,3523,2,0,2.35,P2P,Electronics,Android,No,suspicious
2541.41,6,2252,0,0,1.78,Merchant,Fuel,Android,Yes,suspicious
1049.84,23,2659,2,2,0.63,BillPay,Groceries,Android,No,fraud
308.4,18,1911,2,1,15.37,BillPay,Groceries,iOS,No,suspicious
70.92,15,2615,4,0,8.88,BillPay,Jewelry,Android,No,suspicious
828.41,2,4198,5,0,3.0,P2P,Electronics,Android,No,fraud
190.11,23,2708,3,0,8.65,Merchant,Groceries,Android,Yes,suspicious
2204.28,4,382,5,0,3.91,Merchant,Groceries,Unknown,No,fraud
5807.53,11,1077,4,1,3.17,P2P,Fuel,Android,Yes,fraud
466.71,5,4715,5,0,0.67,P2P,Jewelry,Android,Yes,fraud
4837.72,7,3814,3,0,2.18,P2P,Travel,Android,Yes,suspicious
555.35,14,4429,2,0,0.82,P2P,Groceries,Android,No,safe
1827.83,16,2024,4,0,6.63,P2P,Travel,Android,No,suspicious
2740.62,4,1178,3,1,9.72,P2P,Electronics,Android,No,fraud
423.57,0,4091,4,0,5.42,P2P,Jewelry,iOS,No,suspicious
2002.19,14,1597,2,1,7.56,P2P,Fuel,iOS,No,suspicious
4159.41,5,3412,5,0,11.32,Merchant,Jewelry,iOS,No,fraud
1300.64,18,4098,3,0,8.7,P2P,Groceries,iOS,No,suspicious
3058.21,11,3691,5,0,11.3,BillPay,Jewelry,Android,Yes,fraud
1065.31,2,2240,4,1,0.49,P2P,Fuel,Android,Yes,fraud
4086.33,1,3869,6,0,1.72,P2P,Groceries,iOS,Yes,fraud
1404.63,3,3823,5,0,2.39,P2P,Fuel,iOS,Yes,fraud
846.37,1,3507,4,0,4.71,P2P,Groceries,iOS,Yes,suspicious
371.52,0,2829,7,0,2.9,P2P,Fuel,Android,No,suspicious
707.56,9,2181,2,0,1.76,P2P,Groceries,Android,Yes,suspicious
1973.29,2,4955,7,0,1.23,Merchant,Travel,Android,No,fraud
5432.09,22,1118,3,0,6.75,P2P,Electronics,Android,Yes,fraud
1373.39,18,265,2,0,0.05,BillPay,Groceries,Android,Yes,suspicious
1209.79,17,2470,5,0,1.87,BillPay,Groceries,Android,Yes,suspicious
3122.81,17,207,6,0,0.33,P2P,Travel,iOS,No,suspicious
3290.91,6,1699,1,0,11.69,P2P,Groceries,Android,Yes,suspicious
2473.61,7,3255,1,1,14.44,Merchant,Jewelry,iOS,No,fraud
163.78,16,1625,0,0,12.35,P2P,Electronics,iOS,No,safe
1144.34,20,2624,5,0,1.12,Merchant,Fuel,iOS,No,suspicious
4720.01,2,3263,5,0,0.99,Merchant,Jewelry,iOS,Yes,fraud
1951.18,13,3979,1,0,1.93,P2P,Travel,Android,No,safe
944.08,9,3098,5,0,5.67,BillPay,Electronics,Android,No,suspicious
1674.18,1,3463,3,1,0.21,BillPay,Travel,Android,No,fraud
4246.12,16,2895,2,3,0.06,P2P,Jewelry,Unknown,No,fraud
249.17,11,4114,3,0,10.95,Merchant,Electronics,Android,No,suspicious
38256.04,8,3535,3,0,0.75,P2P,Travel,Android,No,suspicious
4264.13,22,4580,3,0,0.7,P2P,Electronics,Android,No,suspicious
1575.48,5,1250,10,1,7.44,P2P,Groceries,Android,No,fraud
4621.06,7,3689,1,0,2.96,P2P,Electronics,Android,Yes,suspicious
1041.79,11,2770,2,0,7.2,Merchant,Fuel,Android,Yes,suspicious
3380.46,7,1313,2,1,2.86,Merchant,Groceries,Android,No,suspicious
2269.17,9,2935,4,2,15.59,P2P,Jewelry,Android,No,fraud
606.15,8,1101,1,1,6.33,Merchant,Travel,Android,Yes,suspicious
548.87,15,4278,3,1,1.94,P2P,Travel,iOS,No,suspicious
4143.97,15,167,3,0,8.03,P2P,Groceries,Android,Yes,suspicious
5974.21,13,1577,4,1,6.81,P2P,Travel,iOS,Yes,fraud
1394.98,9,1702,3,0,2.43,Merchant,Groceries,Android,Yes,suspicious
3831.93,23,4544,1,0,2.89,P2P,Groceries,Android,No,suspicious
325.09,5,1606,3,1,2.09,BillPay,Groceries,iOS,Yes,fraud
177.94,14,2820,4,0,0.34,P2P,Electronics,iOS,Yes,suspicious
32624.23,9,4894,2,0,15.44,P2P,Jewelry,Android,No,fraud
5931.76,1,1677,5,0,1.71,P2P,Travel,Android,No,fraud
864.73,3,2751,1,0,8.74,P2P,Groceries,Android,No,suspicious
658.73,13,3731,3,0,1.05,Merchant,Fuel,iOS,Yes,suspicious
177.72,9,1040,3,1,1.68,P2P,Jewelry,Android,No,suspicious
498.23,3,1498,4,0,4.66,BillPay,Fuel,Android,No,suspicious
4216.7,22,3054,5,0,3.76,P2P,Travel,Android,No,suspicious
266.43,10,34,3,1,0.19,Merchant,Fuel,Android,Yes,fraud
275.57,1,555,1,1,0.35,Merchant,Groceries,iOS,No,suspicious
1001.63,16,1171,4,1,4.37,Merchant,Groceries,Android,Yes,fraud
2268.21,23,972,4,2,12.13,Merchant,Electronics,Android,No,fraud
963.93,11,2844,3,1,1.06,Merchant,Electronics,Unknown,No,fraud
1548.78,5,2912,3,1,0.1,P2P,Travel,iOS,No,suspicious
250.91,12,4405,4,0,2.32,P2P,Electronics,Android,Yes,suspicious
530.19,1,4336,2,1,4.74,Merchant,Jewelry,Android,No,fraud
3299.4,22,3147,0,2,3.24,P2P,Groceries,iOS,No,fraud
1289.19,11,2346,5,0,3.19,P2P,Fuel,Unknown,No,fraud
14020.8,17,4591,2,0,2.25,BillPay,Travel,Android,No,suspicious
2593.66,18,1958,3,0,1.37,P2P,Travel,Android,No,suspicious
587.13,15,3640,3,1,20.72,P2P,Travel,Android,No,suspicious
